World Name: GOOFINDER
Size: 100x60
Tile Count: 6000
Version: 25
Flags: 64
Weather: Base=0, Current=8

--- TILE LIST ---
Index | X, Y | Fg | Bg | Flags | TileFlags | Type | Extra Data
    0 |   0,   0 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
    1 |   1,   0 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
    2 |   2,   0 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
    3 |   3,   0 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
    4 |   4,   0 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
    5 |   5,   0 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
    6 |   6,   0 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
    7 |   7,   0 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
    8 |   8,   0 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
    9 |   9,   0 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
   10 |  10,   0 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
   11 |  11,   0 |   10 |    0 | 0x0000 | 0x0000 |   0 | None
   12 |  12,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   13 |  13,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   14 |  14,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   15 |  15,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   16 |  16,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   17 |  17,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   18 |  18,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   19 |  19,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   20 |  20,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   21 |  21,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   22 |  22,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   23 |  23,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   24 |  24,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   25 |  25,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
   26 |  26,   0 |    0 |    0 | 0x0000 | 0x0000 |   0 | None
